POINTS,COORDINATE,DISTANCE,ANGLE
349,"(393.6491997562006, 337.4429390723421)",1.0,179
350,"(394.59232176796655, 337.7471328338723)",0.99,179
351,"(395.524413635399, 338.06810203452596)",0.99,179
352,"(396.4443916368423, 338.40772404545646)",0.98,179
353,"(397.3511720506407, 338.76787623781723)",0.98,178
354,"(398.24367115513866, 339.1504359827619)",0.97,178
355,"(399.1208052286804, 339.5572806514439)",0.97,178
356,"(399.9814905496105, 339.99028761501665)",0.96,178
357,"(400.8249154668419, 340.4508849396069)",0.96,178
358,"(401.65142993060954, 340.9385823900873)",0.96,178
359,"(402.4616938394991, 341.45237787386407)",0.96,178
360,"(403.2563670950768, 341.9912692934213)",0.96,178
361,"(404.03610959890875, 342.55425455124316)",0.96,178
362,"(404.8015812525613, 343.1403315498137)",0.96,178
363,"(405.55344195760034, 343.74849819161693)",0.97,179
364,"(406.2923516155923, 344.3777523791369)",0.97,179
365,"(407.01897012810315, 345.0270920148577)",0.97,179
366,"(407.7339573966992, 345.6955150012636)",0.98,179
367,"(408.4379733229468, 346.3820192408384)",0.98,179
368,"(409.1316778084118, 347.0856026360662)",0.99,179
369,"(409.81573075466054, 347.8052630894313)",0.99,179
370,"(410.4907920632592, 348.53999850341756)",1.0,179
371,"(411.15752163577395, 349.2888067805091)",1.0,179
372,"(411.816579373771, 350.05068582319007)",1.01,179
373,"(412.4686251788164, 350.82463353394445)",1.01,179
374,"(413.11431895247665, 351.6096478152564)",1.02,179
375,"(413.7543205963175, 352.40472656960975)",1.02,179
376,"(414.38929001190536, 353.20886769948885)",1.02,180
377,"(415.0198871008065, 354.0210691073777)",1.03,180
378,"(415.646771764587, 354.8403286957604)",1.03,180
379,"(416.27060390481296, 355.6656443671209)",1.03,180
380,"(416.89204342305067, 356.4960140239433)",1.04,180
381,"(417.51175022086625, 357.3304355687118)",1.04,180
382,"(418.130384199826, 358.1679069039104)",1.04,180
383,"(418.748605261496, 359.0074259320232)",1.04,180
384,"(419.36707330744235, 359.8479905555342)",1.04,180
385,"(419.9864482392314, 360.68859867692754)",1.04,180
386,"(420.60738995842917, 361.52824819868715)",1.04,180
387,"(421.230558366602, 362.3659370232973)",1.04,180
388,"(421.85661336531604, 363.20066305324195)",1.04,180
389,"(422.48621485613734, 364.03142419100527)",1.04,180
390,"(423.1200227406322, 364.85721833907115)",1.04,180
391,"(423.75869692036673, 365.67704339992383)",1.04,180
392,"(424.4028972969072, 366.48989727604726)",1.04,179
393,"(425.05328377181974, 367.2947778699257)",1.03,179
394,"(425.71051624667064, 368.09068308404306)",1.03,179
395,"(426.37525462302574, 368.8766108208835)",1.03,179
396,"(427.04815880245155, 369.6515589829309)",1.03,179
397,"(427.72988868651424, 370.41452547266965)",1.02,179
398,"(428.42110417677986, 371.1645081925835)",1.02,179
399,"(429.12246517481464, 371.9005050451568)",1.02,179
400,"(429.83463158218467, 372.62151393287354)",1.01,179
401,"(430.55826330045625, 373.3265327582176)",1.01,179
402,"(431.2940202311956, 374.0145594236733)",1.01,179
403,"(432.04256227596886, 374.6845918317245)",1.0,179
404,"(432.8045493363422, 375.3356278848555)",1.0,179
405,"(433.5806413138817, 375.9666654855502)",1.0,179
406,"(434.37149811015354, 376.57670253629277)",1.0,178
407,"(435.17777962672415, 377.1647369395672)",1.0,178
408,"(436.0001457651594, 377.72976659785763)",1.0,178
409,"(436.83925642702576, 378.2707894136481)",1.0,178
410,"(437.69577151388916, 378.7868032894228)",1.0,178
411,"(438.5703509273159, 379.2768061276655)",1.0,178
412,"(439.46365456887224, 379.73979583086054)",1.01,178
413,"(440.3763016078471, 380.1748278219645)",1.01,178
414,"(441.30741512066237, 380.58307024570405)",1.02,178
415,"(442.2542237949316, 380.96836642597765)",1.02,179
416,"(443.2138345329488, 381.3347316669806)",1.03,179
417,"(444.18335423700796, 381.68618127290824)",1.03,179
418,"(445.15988980940335, 382.0267305479558)",1.03,180
419,"(446.1405481524288, 382.3603947963187)",1.04,180
420,"(447.1224361683786, 382.69118932219203)",1.04,180
421,"(448.1026607595468, 383.0231294297711)",1.03,180
422,"(449.07832882822737, 383.3602304232513)",1.03,179
423,"(450.0465472767145, 383.7065076068278)",1.03,179
424,"(451.0044230073023, 384.065976284696)",1.02,179
425,"(451.9490629222847, 384.44265176105114)",1.02,179
426,"(452.8775739239559, 384.84054934008833)",1.01,178
427,"(453.7870629146101, 385.26368432600304)",1.0,178
428,"(454.6746367965411, 385.7160720229907)",1.0,178
429,"(455.53740247204325, 386.2017277352463)",0.99,177
430,"(456.3724668434105, 386.72466676696513)",0.99,177
431,"(457.1769368129368, 387.2889044223427)",0.98,177
432,"(457.94791928291653, 387.8984560055742)",0.98,176
433,"(458.6825211556436, 388.55733682085474)",0.99,176
434,"(459.3778493334122, 389.2695621723798)",1.0,176
435,"(460.03101085002766, 390.03914714701546)",1.01,176
436,"(460.64039873551053, 390.86798165960664)",1.03,176
437,"(461.20884779172457, 391.75061537847427)",1.05,177
438,"(461.7401511171265, 392.68001433966737)",1.07,177
439,"(462.23810181017285, 393.64914457923487)",1.09,178
440,"(462.7064929693206, 394.6509721332259)",1.11,178
441,"(463.14911769302637, 395.67846303768897)",1.12,179
442,"(463.5697690797469, 396.7245833286737)",1.13,179
443,"(463.97224022793887, 397.7822990422286)",1.13,179
444,"(464.3603242360591, 398.8445762144029)",1.13,180
445,"(464.73781420256415, 399.90438088124563)",1.13,180
446,"(465.1085032259109, 400.9546790788054)",1.11,180
447,"(465.47618440455614, 401.9884368431317)",1.1,180
448,"(465.84465083695636, 402.9986202102731)",1.08,179
449,"(466.2176956215684, 403.9781952162788)",1.05,179
450,"(466.59911185684905, 404.92012789719774)",1.02,178
451,"(466.9926926412549, 405.81738428907875)",0.98,178
452,"(467.40223107324283, 406.66293042797116)",0.94,177
453,"(467.8315202512695, 407.44973234992364)",0.9,176
454,"(468.28435327379157, 408.1707560909854)",0.85,176
455,"(468.76452323926594, 408.81896768720515)",0.81,175
456,"(469.275823246149, 409.3873331746322)",0.76,173
457,"(469.8220463928979, 409.8688185893152)",0.73,172
458,"(470.4066949668628, 410.25703241887766)",0.7,172
459,"(471.0301436133912, 410.5524926481569)",0.69,172
460,"(471.69086314002124, 410.7599231659986)",0.69,173
461,"(472.38729737333693, 410.8841074668014)",0.71,173
462,"(473.1178901399224, 410.9298290449632)",0.73,174
463,"(473.8810852663613, 410.9018713948824)",0.76,175
464,"(474.67532657923766, 410.805018010957)",0.8,176
465,"(475.4990579051355, 410.64405238758525)",0.84,177
466,"(476.3507230706386, 410.42375801916546)",0.88,177
467,"(477.2287659023311, 410.14891840009574)",0.92,178
468,"(478.13163022679674, 409.82431702477436)",0.96,178
469,"(479.0577598706196, 409.4547373875995)",1.0,178
470,"(480.00559866038344, 409.04496298296925)",1.03,179
471,"(480.9735904226724, 408.5997773052819)",1.07,179
472,"(481.96017898407035, 408.1239638489358)",1.1,179
473,"(482.9638081711612, 407.62230610832876)",1.12,179
474,"(483.9829218105288, 407.09958757785927)",1.15,180
475,"(485.01596372875724, 406.5605917519255)",1.17,180
476,"(486.06137775243036, 406.0101021249256)",1.18,180
477,"(487.1176077081322, 405.45290219125775)",1.19,180
478,"(488.18309742244656, 404.8937754453203)",1.2,180
479,"(489.25629072195755, 404.3375053815111)",1.21,180
480,"(490.335631433249, 403.7888754942287)",1.21,179
481,"(491.4195633829047, 403.2526692778711)",1.21,179
482,"(492.50653039750887, 402.73367022683664)",1.2,179
483,"(493.59497630364524, 402.23666183552353)",1.2,179
484,"(494.68334492789785, 401.7664275983298)",1.19,179
